Export Row Number,Cleanup Reason,Business Name,State,City,Category,Campaign ID,Website,Facebook Page,Messenger URL,Email,Contact Method,First Contact Date,Contact Name,Phone Number,DeerCamp Fit Score,Outreach Status,Last Follow-Up Date,Next Follow-Up Date,Response Notes,Interested Status,Partnership Potential,Referred Camps,Follow-Up Needed,Source,Priority Tier,Last Contacted By,Relationship Warmth,Notes from Processor,Seasonality,Potential Founding Partner,Preferred Outreach Channel,Region,Tags,Date Added,Processor Size,Active Hunting Social Presence,Messenger URL Auto,Discovery Source,Normalized Name,RuleA_Key,Dedupe Key,Duplicate Count
1227,Pre-existing embedded header row; removed from clean prospect file,Business Name,State,City,Category,,Website,Facebook Page,Messenger URL,Email,Contact Method,,Contact Name,Phone Number,,Outreach Status,,,Response Notes,,Partnership Potential,,,Source,Priority Tier,Last Contacted By,Relationship Warmth,Notes from Processor,Seasonality,,Preferred Outreach Channel,Region,Tags,,Processor Size,,Facebook Page,Discovery Source,business name,domain::website,business name | city | state,1.0
1228,Pre-existing embedded header row; removed from clean prospect file,Business Name,State,City,Category,,Website,Facebook Page,Messenger URL,Email,Contact Method,,Contact Name,Phone Number,,Outreach Status,,,Response Notes,,Partnership Potential,,,Source,Priority Tier,Last Contacted By,Relationship Warmth,Notes from Processor,Seasonality,,Preferred Outreach Channel,Region,Tags,,Processor Size,,Facebook Page,Discovery Source,Normalized Name,RuleA_Key,Dedupe Key,
1229,Pre-existing embedded header row; removed from clean prospect file,Business Name,State,City,Category,,Website,Facebook Page,Messenger URL,Email,Contact Method,,Contact Name,Phone Number,,Outreach Status,,,Response Notes,,Partnership Potential,,,Source,Priority Tier,Last Contacted By,Relationship Warmth,Notes from Processor,Seasonality,,Preferred Outreach Channel,Region,Tags,,Processor Size,,Facebook Page,Discovery Source,Normalized Name,RuleA_Key,Dedupe Key,
